student_id,student_name,date_of_birth,gender,guardian_id,subjects,course,student_academic_performance_score,guardian_name,relationship,occupation,income_level
29,Tochi Uchenna,2011-11-14,female,29,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,47.90104444444444,Okon Uchenna,father,Pilot,600000
30,Adesola Adedayo,2011-02-20,female,30,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.98235555555556,Chioma Adedayo,mother,Architect,300000
31,Joshua Kehinde,2010-12-02,male,31,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.60784444444444,Ibukun Kehinde,nephew,Digital Marketer,180000
32,Funke Chidubem,2010-07-09,female,32,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,33.12938888888889,Ejiro Chidubem,niece,Driver,50000
33,Adaobi Kyauta,2010-10-03,female,33,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,35.13616666666667,Aliyu Kyauta,father,Graphic Designer,150000
34,Paul Alaba,2009-04-23,male,34,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,32.40581111111111,Kikelomo Alaba,niece,Teacher,80000
35,Peter Ife,2010-09-16,male,35,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.60054444444444,Kolade Ife,father,Security Guard,30000
36,Stephen Toyin,2009-05-11,male,36,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.1016,Olayemi Toyin,mother,Imam,120000
37,Zainab Uzochi,2010-11-08,female,37,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,32.436188888888886,Gbolahan Uzochi,nephew,Tailor,40000
38,Bukola Abimbola,2009-06-13,female,38,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,41.157044444444445,Rafiat Abimbola,aunt,Software Engineer,350000
39,Olayinka Olayinka,2009-05-23,female,39,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,32.60333333333333,Raufu Olayinka,uncle,Receptionist,50000
40,Zainab Ayomide,2010-02-28,female,40,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,33.981766666666665,Patricia Ayomide,aunt,Social Media Manager,120000
41,Matthew Dada,2010-11-21,male,41,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,35.23871111111111,Opeyemi Dada,father,Human Resources Manager,250000
42,Mariam Chigozie,2009-06-20,female,42,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,39.71453333333333,Morohunkeji Chigozie,aunt,Data Scientist,400000
43,Folake Uche,2009-05-08,female,43,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,36.85796666666666,Ikenna Uche,father,Human Resources Manager,250000
44,Ibukun Onyekachi,2011-05-05,female,44,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.912477777777777,Aminat Onyekachi,aunt,Driver,50000
45,Isaac Temitope,2011-10-07,male,45,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,33.87477777777778,Ejiro Temitope,nephew,Baker,80000
46,Chinonye Fumnanya,2011-05-15,female,46,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.418488888888895,Bukola Fumnanya,aunt,Baker,80000
47,Feyikemi Ayodele,2011-12-12,female,47,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.61547777777778,Yakubu Ayodele,nephew,Chef,100000
48,Andrew Obi,2010-10-09,male,48,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,42.57407777777777,Bilikis Obi,niece,Entrepreneur,500000
49,Philip Abiodun,2009-01-25,male,49,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.9869,Simon Abiodun,nephew,Journalist,150000
50,Olawunmi Uzoma,2011-04-02,female,50,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.074044444444446,Omowunmi Uzoma,niece,Graphic Designer,150000
51,Yetunde Abiola,2011-06-12,female,51,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,38.326077777777776,Gbenga Abiola,uncle,Human Resources Manager,250000
52,Amara Akachi,2011-03-24,male,52,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.54392222222222,Mobolaji Akachi,niece,Artist,150000
53,Modupe Eniola,2010-06-08,female,53,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,35.550444444444445,Chris Eniola,uncle,Human Resources Manager,250000
54,Ifeanyi Adebola,2009-07-23,male,54,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.317933333333336,Titilayo Adebola,niece,Imam,120000
55,Chukwuemeka Chinwendu,2009-04-28,male,55,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.685722222222225,Abdullahi Chinwendu,nephew,Housekeeper,25000
56,Oluwakemi Chima,2009-10-02,female,56,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,39.07124444444444,Ibiyemi Chima,niece,Business Analyst,320000
57,Aminat Abidemi,2010-10-05,female,57,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.39873333333333,Saheed Abidemi,nephew,Pastor,150000
58,Fatimat Chibuzo,2009-01-26,female,58,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,32.451544444444444,Chidinma Chibuzo,niece,Mechanic,60000
59,Favour Chinonso,2009-03-05,female,59,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,32.39276666666667,Usman Chinonso,father,Police Officer,100000
60,Olumide Oluwaseun,2010-11-03,male,60,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.9995,Bunmi Oluwaseun,mother,University Lecturer,250000
61,Uchenna Ekenedilichukwu,2011-02-15,male,61,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,32.48336666666666,Zubair Ekenedilichukwu,father,Housekeeper,25000
62,Aisha Tochukwu,2011-08-10,female,62,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,32.653099999999995,Chioma Tochukwu,mother,Farmer,50000
63,Ibukunoluwa Adetokunbo,2010-03-07,female,63,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.76284444444444,Segun Adetokunbo,nephew,Imam,120000
64,Adebimpe Oni,2010-11-20,female,64,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.66786666666667,Niniola Oni,mother,Accountant,250000
65,Salimot Ogochukwu,2010-02-23,female,65,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,43.60692222222222,Adebayo Ogochukwu,father,Dentist,450000
66,Esther Onyekachukwu,2011-11-04,female,66,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,29.65573333333333,Moradeke Onyekachukwu,mother,Cleaner,25000
67,Ufuoma Ige,2010-03-05,female,67,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.745977777777775,Kenneth Ige,uncle,Real Estate Agent,250000
68,Kelechi Folami,2011-01-02,male,68,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.41217777777778,Damilola Folami,niece,Artist,150000
69,Ayodele Onyeka,2011-08-10,male,69,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.56541111111111,Hassan Onyeka,father,Artist,150000
70,Obinna Chimezie,2009-06-14,male,70,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,32.572944444444445,Tolani Chimezie,niece,Makeup Artist,80000
71,Aderonke Oluwaseyi,2011-08-23,female,71,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,36.49147777777778,Chijioke Oluwaseyi,father,Real Estate Agent,250000
72,Iretiola Yalwa,2010-07-17,female,72,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.72603333333333,Sarah Yalwa,aunt,Imam,120000
73,Tope Enitan,2011-06-05,male,73,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,33.177033333333334,David Enitan,father,Police Officer,100000
74,Oluwaseun Ayo,2009-09-02,male,74,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,38.61773333333333,Mary Ayo,niece,Banker,350000
75,Teniola Bamidele,2010-06-24,female,75,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,37.06261111111111,Emmanuel Bamidele,uncle,Real Estate Agent,250000
76,Titilayo Olamide,2011-09-15,female,76,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.94262222222222,Grace Olamide,mother,Event Planner,120000
77,Chioma Akuchi,2010-05-16,female,77,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,38.13797777777778,John Akuchi,uncle,Accountant,250000
78,Nnamdi Idowu,2011-08-20,male,78,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.7016,Rebecca Idowu,niece,Pastor,150000
79,Ejiro Ndidi,2009-12-22,female,79,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.44598888888889,Daniel Ndidi,nephew,Photographer,100000
80,Rafiat Chidiebube,2011-03-10,female,80,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.81084444444444,Elizabeth Chidiebube,mother,Musician,180000
81,Oluwafemi Idowu,2009-09-07,male,81,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,32.25418888888888,Joseph Idowu,nephew,Imam,120000
82,Patricia Ayotunde,2011-08-03,female,82,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.02523333333333,Esther Ayotunde,mother,Plumber,50000
83,Ibiyemi Chidiebere,2010-02-17,female,83,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,43.04065555555555,Samuel Chidiebere,father,Dentist,450000
84,Chidinma Kelechi,2009-08-18,female,84,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.32558888888889,Deborah Kelechi,niece,Graphic Designer,150000
85,Ayo Opeyemi,2011-08-27,male,85,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.845122222222216,Michael Opeyemi,nephew,Pharmacist,280000
86,Bunmi Ndidi,2011-02-04,female,86,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,44.72802222222222,Ruth Ndidi,aunt,Lawyer,400000
87,Chioma Kelechi,2011-01-21,female,87,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.289233333333335,Joshua Kelechi,uncle,Graphic Designer,150000
88,Niniola Dayo,2011-07-15,female,88,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,32.61234444444444,Naomi Dayo,mother,Driver,50000
89,Folasade Chikere,2009-03-19,female,89,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.719388888888886,Paul Chikere,nephew,Digital Marketer,180000
90,Nneka Chikelu,2009-03-12,female,90,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.788677777777774,Hope Chikelu,aunt,Receptionist,50000
91,Aminat Chisom,2010-06-16,female,91,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.43912222222222,Peter Chisom,uncle,Mechanic,60000
92,Ruqayyah Oluwatoyin,2011-01-14,female,92,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,39.37418888888889,Joy Oluwatoyin,niece,Financial Analyst,320000
93,Femi Olamide,2009-04-13,male,93,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.86242222222222,Stephen Olamide,father,Civil Engineer,300000
94,Olamide Adebowale,2011-11-28,male,94,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,40.939188888888886,Faith Adebowale,mother,Lawyer,400000
95,Modupeola Chiemeka,2009-03-13,female,95,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.27565555555556,Matthew Chiemeka,father,Social Media Manager,120000
96,Precious Adeola,2010-04-15,female,96,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.89565555555555,Patience Adeola,niece,Pastor,150000
97,Damilola Adisa,2010-01-21,female,97,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.65076666666666,Isaac Adisa,uncle,Musician,180000
98,Ahmed Olusola,2011-02-18,male,98,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.222322222222225,Rebecca Olusola,niece,Actor,200000
99,Ibrahim Chiemeka,2010-05-20,male,99,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.734988888888893,Andrew Chiemeka,nephew,Barber,40000
100,Ebuka Chidiebele,2011-05-05,male,100,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,32.2771,Ngozi Chidiebele,mother,Police Officer,100000
101,Ayodele Chidiebele,2010-03-14,female,101,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.41261111111111,Philip Chidiebele,nephew,Police Officer,100000
102,Tijani Ekundayo,2010-12-18,male,102,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,38.803,Temitope Ekundayo,niece,Software Developer,350000
103,Abike Chijindum,2010-03-12,female,103,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.21446666666667,Amara Chijindum,father,Social Media Manager,120000
104,Isioma Ayotunde,2010-10-19,female,104,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.407388888888896,Folasade Ayotunde,mother,Graphic Designer,150000
105,Ronke Chizoba,2011-03-16,female,105,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.3653,Ifeanyi Chizoba,uncle,Farmer,50000
106,Adenike Kelechi,2010-07-19,female,106,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.654066666666665,Yemisi Kelechi,niece,Makeup Artist,80000
107,Ayotunde Abioye,2010-08-01,female,107,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,29.451066666666666,Chukwuemeka Abioye,father,Housekeeper,25000
108,Yewande Taiwo,2009-04-12,female,108,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,41.35375555555556,Chinwe Taiwo,niece,Dentist,450000
109,Taiwo Chidi,2011-07-04,female,109,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,38.091055555555556,Olumide Chidi,uncle,Software Developer,350000
110,Titi Ekene,2010-07-06,female,110,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.78333333333333,Ogechi Ekene,aunt,University Lecturer,250000
111,Ayanfeoluwa Uchenna,2009-08-14,female,111,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.92466666666667,Uchenna Uchenna,father,Artist,150000
112,Olajumoke Adedayo,2009-08-22,female,112,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.590999999999998,Ezinne Adedayo,mother,Housekeeper,25000
113,Segun Kehinde,2010-02-07,male,113,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.75082222222222,Kelechi Kehinde,father,Photographer,100000
114,Iretiola Chidubem,2011-11-16,female,114,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,38.94166666666667,Nkechi Chidubem,niece,Architect,300000
115,Sade Kyauta,2010-08-02,female,115,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,39.077666666666666,Ayodele Kyauta,father,Financial Analyst,320000
116,Chigozie Kyauta,2011-12-02,male,116,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.0996,Tochi Kyauta,aunt,Graphic Designer,150000
117,Osas Alaba,2009-04-17,male,117,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,43.09792222222222,Obinna Alaba,uncle,Dentist,450000
118,Tolu Ife,2011-03-03,male,118,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,31.713599999999996,Adesola Ife,mother,Farmer,50000
119,Chibuike Ekene,2009-09-01,male,119,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.4622,Tope Ekene,uncle,University Lecturer,250000
120,Tolulope Kehinde,2010-12-03,female,120,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,40.91083333333332,Funke Kehinde,aunt,Software Developer,350000
121,Olayinka Kehinde,2011-08-12,female,121,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.403555555555556,Oluwaseun Kehinde,father,Tailor,40000
122,Mojisola Ekundayo,2010-03-10,female,122,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.037211111111116,Adaobi Ekundayo,niece,Housekeeper,25000
123,Folakemi Ayotunde,2009-01-09,female,123,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,41.85305555555555,Nnamdi Ayotunde,father,Software Developer,350000
124,Jibril Toyin,2009-03-10,male,124,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,46.85905555555555,Zainab Toyin,niece,Pilot,600000
125,Oluwafunmilayo Uzochi,2011-12-20,female,125,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.583477777777773,Oluwafemi Uzochi,uncle,Tailor,40000
126,Mofoluwake Chikere,2011-08-10,female,126,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,40.694722222222225,Bukola Chikere,mother,Software Developer,350000
127,Maryam Abimbola,2009-04-02,female,127,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.885233333333332,Ayo Abimbola,uncle,Mechanic,60000
128,Enitan Olayinka,2010-09-22,female,128,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,33.21847777777777,Olayinka Olayinka,mother,Baker,80000
129,Bukky Chidiebele,2011-10-06,female,129,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,41.6995,Femi Chidiebele,uncle,Lawyer,400000
130,Zainab Chidiebube,2010-03-24,female,130,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,43.218422222222216,Zainab Chidiebube,niece,Entrepreneur,500000
131,Opeyemi Ayomide,2009-09-15,female,131,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,36.69597777777778,Olamide Ayomide,nephew,Nurse,200000
132,Anike Taiwo,2011-05-09,female,132,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,29.835066666666663,Mariam Taiwo,aunt,Security Guard,30000
133,Omolara Abioye,2010-09-07,female,133,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,39.33981111111111,Ahmed Abioye,uncle,Financial Analyst,320000
134,Emeka Dada,2009-12-16,male,134,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,39.35005555555556,Folake Dada,aunt,Lawyer,400000
135,Kudirat Chigozie,2009-12-24,female,135,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.756544444444444,Ibrahim Chigozie,nephew,Soldier,150000
136,Fatimah Ayomide,2011-04-05,female,136,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,35.68964444444445,Ibukun Ayomide,niece,Musician,180000
137,Chinyere Uche,2011-08-09,female,137,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,35.48977777777778,Ebuka Uche,father,Soldier,150000
138,Oluwaseun Uzochi,2010-09-16,female,138,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.03971111111111,Chinonye Uzochi,aunt,Graphic Designer,150000
139,Oreoluwa Adebowale,2010-12-17,female,139,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.277011111111115,Tijani Adebowale,father,Pastor,150000
