student_id,first_name,last_name,date_of_birth,gender
140,Brigit,Onyekachi,2015-06-23,female
141,Harris,Uzochi,2015-05-19,male
142,Kandy,Onyekachi,2015-06-19,female
143,Courtney,Chidiebere,2015-01-09,female
144,Willow,Opeyemi,2014-06-06,female
145,Willi,Temitope,2015-01-02,male
146,Troy,Chiemeka,2015-02-01,male
147,Merna,Fumnanya,2015-01-08,female
148,Faina,Ayodele,2014-07-19,female
149,Dave,Obi,2013-03-01,male
150,Jimmie,Ayodele,2015-06-17,male
151,Agustin,Chidubem,2014-04-14,male
152,Nathanael,Abimbola,2015-11-02,male
153,Quinlan,Chidiebube,2014-04-21,male
154,Ingamar,Abiodun,2015-08-05,male
155,Kyrstin,Uzoma,2015-07-16,female
156,Pia,Chikere,2015-04-05,female
157,Ann,Onyekachi,2014-12-13,female
158,Ronica,Idowu,2015-05-07,female
159,Garfield,Abimbola,2015-06-18,male
160,Tucker,Olamide,2015-06-13,male
161,Angelle,Abiola,2013-05-25,female
162,Doloritas,Ekene,2014-05-13,female
163,Tuckie,Obi,2013-05-09,male
164,Shellie,Kyauta,2014-02-08,female
165,Anatole,Akachi,2013-03-03,male
166,Ursula,Eniola,2014-07-14,female
167,Arlette,Adedayo,2014-09-22,female
168,Andromache,Chidubem,2015-01-24,female
169,Jennee,Adisa,2015-11-03,female
170,Christiano,Temitope,2014-02-14,male
171,French,Dayo,2014-08-06,male
172,Darius,Adebola,2014-05-14,male
173,Aharon,Chinwendu,2015-03-01,male
174,Leanora,Kelechi,2015-04-12,female
175,Nariko,Abioye,2014-10-25,female
176,Kimball,Abiodun,2015-08-16,male
177,Beverlee,Chinwendu,2015-12-03,female
178,Damien,Ekundayo,2013-11-27,male
179,Adrien,Ayotunde,2014-04-17,female
180,Jocelyne,Obi,2013-06-23,female
181,Torey,Abimbola,2014-05-13,female
182,Desirae,Chijindum,2015-10-27,female
183,Kristopher,Chizoba,2014-11-11,male
184,Cheslie,Adedayo,2014-01-14,female
185,Kynthia,Chima,2013-02-09,female
186,Gwenni,Abioye,2013-03-24,female
187,Gus,Ayotunde,2013-07-18,male
188,Tallie,Chidiebere,2015-07-23,female
189,Karna,Temitope,2014-10-06,female
190,Dimitrou,Chinwendu,2014-03-14,male
191,Julita,Chiemeka,2015-03-02,female
192,Witold,Toyin,2015-10-03,male
193,Moyna,Abidemi,2014-02-11,female
194,Maribeth,Chizoba,2015-11-06,female
195,Huey,Adebola,2015-04-28,male
196,Roanna,Chibuzo,2015-11-28,female
197,Joycelin,Ife,2013-05-22,female
198,Bartolomei,Olamide,2014-02-20,male
199,Wandis,Chima,2013-08-01,female
200,Carmelita,Chinonso,2014-06-02,female
201,Poppy,Olamide,2015-08-22,female
202,Spud,Ayotunde,2014-02-24,male
203,Elmira,Oluwatoyin,2015-02-11,female
204,Elaine,Onyekachi,2013-08-25,female
205,Martynne,Uzoma,2015-05-21,female
206,Alejandro,Oluwaseun,2013-07-23,male
207,Melinde,Chinonso,2013-07-24,female
208,Harriot,Taiwo,2015-08-17,female
209,Aurelie,Chiemeka,2014-02-26,female
210,Archon,Ekenedilichukwu,2013-09-15,male
211,Ally,Tochukwu,2014-10-21,female
212,Danyelle,Chidi,2014-09-11,female
213,Janos,Ndidi,2013-01-09,male
214,Melly,Temitope,2013-10-09,female
215,Karel,Akuchi,2013-03-02,male
216,Georgetta,Adetokunbo,2013-08-13,female
217,Cyrus,Fumnanya,2015-02-25,male
218,Jacquenette,Obi,2013-06-16,female
219,Taber,Adisa,2014-09-23,male
220,Gisela,Chizoba,2015-03-24,female
221,Cassi,Ayotunde,2015-02-18,female
222,Raven,Kyauta,2013-05-09,female
223,Sabine,Chidiebere,2013-02-15,female
224,Harriet,Chizoba,2013-06-24,female
225,Reinhard,Chiemeka,2015-05-12,male
226,Damaris,Chidiebere,2013-01-05,female
227,Tonie,Uchenna,2014-02-15,female
228,Rubetta,Chidiebele,2013-06-23,female
229,Myra,Olamide,2013-12-13,female
230,Walton,Ekene,2014-09-01,male
231,Lucky,Opeyemi,2013-11-12,female
232,Angelique,Opeyemi,2013-03-20,female
233,Fidela,Alaba,2013-12-05,female
234,Aldwin,Olusola,2015-12-01,male
235,Lura,Oni,2014-03-15,female
236,Reggis,Akachi,2014-02-01,male
237,Cornelle,Ogochukwu,2014-03-03,female
238,Kaylil,Chidiebele,2014-03-23,female
239,Teodora,Taiwo,2013-10-12,female
240,Stevena,Uchenna,2014-06-15,female
241,Danna,Abioye,2013-04-07,female
242,Georges,Chiemeka,2013-09-04,male
243,Emil,Olamide,2015-08-17,male
244,Chery,Olamide,2013-02-28,female
245,Spenser,Adebola,2014-09-22,male
246,Malanie,Onyekachukwu,2015-12-04,female
247,Feliza,Ayotunde,2015-04-02,female
248,Ariel,Kehinde,2014-12-02,female
249,Betti,Bamidele,2013-08-13,female
250,Berget,Ige,2014-11-03,female
251,Caril,Ige,2013-03-13,female
252,Lacey,Ayomide,2014-09-17,female
253,Roseanne,Bamidele,2013-02-11,female
254,Florence,Ekenedilichukwu,2013-05-10,female
255,Abigael,Abimbola,2013-02-11,female
256,Codie,Tochukwu,2013-11-26,female
257,Dane,Tochukwu,2014-08-01,male
258,Vick,Folami,2015-06-19,male
259,Cameo,Abimbola,2013-07-07,female
260,Cicely,Abioye,2014-12-19,female
261,Jorey,Chidiebere,2014-08-02,female
262,Ralph,Abioye,2015-09-20,male
263,Fritz,Eniola,2014-09-01,male
264,Ashley,Kelechi,2015-10-14,male
265,Archon,Chinonso,2015-07-15,male
266,Stephannie,Chinwendu,2014-10-11,female
267,Benjy,Ekene,2014-10-18,male
268,Salomon,Olusola,2013-03-07,male
269,Werner,Onyeka,2013-08-15,male
270,Elmore,Ayomide,2014-08-21,male
271,Eveleen,Fumnanya,2013-03-17,female
272,Mohammad,Adetokunbo,2014-11-28,male
273,Margaux,Ekene,2014-03-08,female
274,Marguerite,Olamide,2015-12-06,female
275,Marilu,Taiwo,2013-06-12,male
276,Broddy,Adeola,2014-11-05,male
277,Linzy,Olamide,2013-03-05,female
278,Roseline,Obi,2015-07-01,female
279,Townsend,Abioye,2014-08-14,male
280,Rad,Fumnanya,2015-01-24,male
281,Dorotea,Temitope,2015-08-22,female
282,Burt,Kehinde,2013-12-23,male
283,Faydra,Temitope,2013-05-09,female
284,Tootsie,Adedayo,2015-02-20,female
285,Francoise,Onyekachukwu,2014-02-13,female
286,Sheff,Fumnanya,2013-04-27,male
287,Ruby,Ekene,2013-06-16,male
288,Torrin,Adebowale,2013-12-02,male
289,Sol,Chimezie,2014-03-05,male
290,Judi,Uzoma,2013-09-16,female
291,Corrinne,Eniola,2015-06-12,female
292,Kincaid,Oluwatoyin,2013-06-24,male
293,Elena,Adebola,2014-02-11,female
294,Lenard,Olusola,2014-03-20,male
295,Louella,Oluwaseyi,2014-03-04,female
296,Orly,Chidi,2014-01-20,female
297,Mitchael,Abiodun,2014-07-07,male
298,Benito,Chiemeka,2014-01-14,male
299,Hebert,Adeola,2015-12-24,male
